town_name,town_code,Population,Males,Females,Private Households Occupied,Private Households Unoccupied,Vacant Dwellings,Housing Stock,Vacancy Rate
035,119 Galmoy Co. Kilkenny,3837.0,1980.0,1857.0,1340.0,221.0,203.0,1561.0,13.0
036,128 Gowran Co. Kilkenny,25676.0,12781.0,12895.0,9167.0,1645.0,1453.0,10812.0,13.4
058,129 Granard Co. Longford,6429.0,3332.0,3097.0,2352.0,704.0,671.0,3056.0,22.0
089,121 Garrycastle Co. Offaly,10510.0,5279.0,5231.0,3681.0,686.0,609.0,4367.0,13.9
090,123 Geashill Co. Offaly,4364.0,2185.0,2179.0,1447.0,144.0,120.0,1591.0,7.5
113,127 Gorey Co. Wexford,20028.0,9915.0,10113.0,7050.0,1417.0,1222.0,8467.0,14.4
162,124 Glanarought Co. Kerry,4718.0,2391.0,2327.0,1829.0,1394.0,1331.0,3223.0,41.3
176,126 Glenquin Co. Limerick,18876.0,9431.0,9445.0,6964.0,1505.0,1389.0,8469.0,16.4
195,"125 Glenahiry Co. Tipperary, Waterford",3563.0,1778.0,1785.0,1283.0,214.0,185.0,1497.0,12.4
200,122 Gaultiere Co. Waterford,6165.0,3028.0,3137.0,2173.0,947.0,885.0,3120.0,28.4
210,120 Galway Co. Galway,4873.0,2434.0,2439.0,1534.0,228.0,179.0,1762.0,10.2
227,118 Gallen Co. Mayo,13081.0,6540.0,6541.0,4951.0,1921.0,1807.0,6872.0,26.3
