town_name,town_code,Population,Males,Females,Private Households Occupied,Private Households Unoccupied,Vacant Dwellings,Housing Stock,Vacancy Rate
018,043 Carbury Co. Kildare,7716.0,3868.0,3848.0,2510.0,274.0,236.0,2784.0,8.5
019,051 Clane Co. Kildare,15905.0,7928.0,7977.0,5362.0,527.0,388.0,5889.0,6.6
020,065 Connell Co. Kildare,28617.0,14148.0,14469.0,9670.0,987.0,804.0,10657.0,7.5
021,137 Ikeathy and Oughterany Co. Kildare,10724.0,5451.0,5273.0,3428.0,315.0,237.0,3743.0,6.3
022,154 Kilcullen Co. Kildare,3636.0,1756.0,1880.0,1252.0,140.0,110.0,1392.0,7.9
023,156 Kilkea and Moone Co. Kildare,5852.0,2944.0,2908.0,2049.0,287.0,247.0,2336.0,10.6
024,200 Naas North Co. Kildare,30209.0,14994.0,15215.0,10079.0,1040.0,747.0,11119.0,6.7
025,201 Naas South Co. Kildare,5757.0,2819.0,2938.0,1935.0,246.0,194.0,2181.0,8.9
026,202 Narragh and Reban East Co. Kildare,4227.0,2155.0,2072.0,1372.0,182.0,153.0,1554.0,9.8
027,203 Narragh and Reban West Co. Kildare,11729.0,5834.0,5895.0,4264.0,791.0,706.0,5055.0,14.0
028,209 Offaly East Co. Kildare,20190.0,10080.0,10110.0,6869.0,885.0,733.0,7754.0,9.5
029,210 Offaly West Co. Kildare,9208.0,4582.0,4626.0,3100.0,500.0,439.0,3600.0,12.2
030,231 Salt North Co. Kildare,46243.0,23018.0,23225.0,15320.0,1498.0,1074.0,16818.0,6.4
031,232 Salt South Co. Kildare,10299.0,5081.0,5218.0,3567.0,345.0,243.0,3912.0,6.2
032,037 Callan Co. Kilkenny,2951.0,1463.0,1488.0,1073.0,209.0,187.0,1282.0,14.6
033,082 Crannagh Co. Kilkenny,8706.0,4394.0,4312.0,3044.0,380.0,317.0,3424.0,9.3
034,110 Fassadinin Co. Kilkenny,9584.0,4816.0,4768.0,3280.0,481.0,445.0,3761.0,11.8
035,119 Galmoy Co. Kilkenny,3837.0,1980.0,1857.0,1340.0,221.0,203.0,1561.0,13.0
036,128 Gowran Co. Kilkenny,25676.0,12781.0,12895.0,9167.0,1645.0,1453.0,10812.0,13.4
037,146 Iverk Co. Kilkenny,8650.0,4405.0,4245.0,3031.0,383.0,313.0,3414.0,9.2
038,147 Kells Co. Kilkenny,3049.0,1554.0,1495.0,1037.0,157.0,133.0,1194.0,11.1
039,169 Knocktopher Co. Kilkenny,4394.0,2266.0,2128.0,1491.0,331.0,311.0,1822.0,17.1
040,239 Shillelogher Co. Kilkenny,15897.0,7794.0,8103.0,5848.0,889.0,716.0,6737.0,10.6
041,155 Kilculliheen Co. Kilkenny,4811.0,2309.0,2502.0,1750.0,339.0,295.0,2089.0,14.1
042,"132 Ida Co. Kilkenny, Wexford",8490.0,4358.0,4132.0,2877.0,415.0,368.0,3292.0,11.2
161,102 Dunkerron South Co. Kerry,3301.0,1673.0,1628.0,1299.0,1698.0,1652.0,2997.0,55.1
162,124 Glanarought Co. Kerry,4718.0,2391.0,2327.0,1829.0,1394.0,1331.0,3223.0,41.3
163,143 Iraghticonnor Co. Kerry,15352.0,7619.0,7733.0,6023.0,2117.0,2032.0,8140.0,25.0
164,145 Iveragh Co. Kerry,8576.0,4366.0,4210.0,3367.0,3170.0,3085.0,6537.0,47.2
165,180 Magunihy Co. Kerry,32815.0,16377.0,16438.0,11079.0,2875.0,2603.0,13954.0,18.7
166,259 Trughanacmy Co. Kerry,50862.0,25046.0,25816.0,19099.0,4551.0,4077.0,23650.0,17.2
167,054 Clanmaurice Co. Kerry,16347.0,8338.0,8009.0,5990.0,1779.0,1670.0,7769.0,21.5
168,074 Corkaguiny Co. Kerry,10432.0,5241.0,5191.0,3994.0,3053.0,2935.0,7047.0,41.6
169,101 Dunkerron North Co. Kerry,3099.0,1578.0,1521.0,1073.0,357.0,334.0,1430.0,23.4
