Genre,Film,Director,Leading actors,Year of cinema release,Country
Romance,Brief Encounter,David Lean ,Celia Johnson/Cyril Raymond/Stanley Holloway/Trevor Howard,1945,UK
Romance,Casablanca,Michael Curtiz,Claude Rains/Humphrey Bogart/Ingrid Bergman/Paul Henreid,1942,USA
Romance,Before Sunrise,Richard Linklater,Ethan Hawke and Julie Delpy,1995,USA
Romance,Before Sunset,Richard Linklater,Ethan Hawke and Julie Delpy,2004,USA
Romance,Breathless,Jean-Luc Godard,Jean Seberg/Jean-Paul Belmondo,1960,France
Romance,In the Mood for Love,Kar Wai Wong,Maggie Cheung Man-Yuk/Rebecca Pan/Tony Leung Chiu-Wai,2000,Hong Kong
Romance,The Apartment,Billy Wilder,Fred MacMurray/Jack Lemmon/Ray Walston/Shirley MacLaine,1960,USA
Romance,Hannah & Her Sisters,Woody Allen ,Barbara Hershey/Carrie Fisher/Dianne Wiest/Julie Kavner/Mia Farrow/Michael Caine/Woody Allen,1986,USA
Romance,Eternal Sunshine of the Spotless Mind,Michel Gondry,Elijah Wood/Jim Carrey/Kate Winslet/Kirsten Dunst/Mark Ruffalo/Tom Wilkinson,2004,USA
Romance,Room With a View,James Ivory,Helena Bonham Carter/Julian Sands/Maggie Smith,1985,UK
Romance,Jules et Jim,François Truffaut,Henri Serre/Jeanne Moreau/Oscar Werner/Oskar Werner,1962,France
Romance,All That Heaven Allows,Douglas Sirk,Jane Wyman/Rock Hudson,1955,USA
Romance,Gone with the Wind,Victor Fleming,Anne Rutherford/Clark Gable/Hattie McDaniel/Leslie Howard/Olivia De Havilland/Vivien Leigh,1939,USA
Romance,An Affair to Remember,Leo McCarey,Cary Grant/Deborah Kerr/Richard Denning,1957,USA
Romance,Umbrellas of Cherbourg,Jaques Demy ,Anne Vernon/Catherine Deneuve/Nino Castelnuovo,1964,France
Romance,Lost in Translation,Sofia Coppola,Bill Murray/Giovanni Ribisi/Scarlett Johansson,2003,USA
Romance,Roman Holiday,William Wyler,Audrey Hepburn/Gregory Peck,1953,USA
Romance,Wall-E,Andrew Stanton,Ben Burtt/Fred Willard/Jeff Garlin/Kathy Najimy/Sigourney Weaver,2008,USA
Romance,My Night With Maud,Eric Rohmer,Francoise Fabian/Jean-Louis Trintignant,1969,France
Romance,Voyage to Italy,Roberto Rossellini,Ingrid Bergman,1954,Italy
Romance,Dr Zhivago,David Lean,Geraldine Chaplin/Julie Christie/Omar Sharif,1965,USA
Romance,Harold & Maude,Hal Ashby,Bud Cort/Cyril Cusack/Ruth Gordon/Vivian Pickles,1971,USA
Romance,When Harry Met Sally,Rob Reiner,Billy Crystal/Bruno Kirby/Carrie Fisher/Meg Ryan,1989,USA
Romance,Say Anything....,Cameron crowe,John Cusack/Ione Skye/John Mahoney,1989,USA
